Tara Oceans station	Layer	Size fraction	Bacillariophyceae	Dinophyceae	Haptophyceae	Other_phytoplankton	total cells counted
7	Surface	20-180 µm	73.8241619444871	20.7146919863771	4.70788454235842	0.753261526777347	629.024067711656
11	Surface	20-180 µm	43.7974683544304	56.2025316455696	0	0	521
14	Surface	20-180 µm	51.5748031496063	30.3149606299213	8.66141732283465	9.4488188976378	322
18	Surface	20-180 µm	86.8292682926829	10.2439024390244	0.487804878048781	2.4390243902439	250
25	Surface	20-180 µm	84.8920863309353	3.9568345323741	10.7913669064748	0.359712230215828	304
30	Surface	20-180 µm	81.2883435582822	7.97546012269939	3.68098159509202	7.05521472392639	337
36	Surface	20-180 µm	8.40122755835142	0.503615820936596	0.228916282243908	90.8662403384681	4402.40922890103
41	Surface	20-180 µm	70.2479338842975	18.1818181818182	1.65289256198347	9.91735537190083	281
46	Surface	20-180 µm	66.1111111111111	2.22222222222222	25	6.66666666666667	367
51	Surface	20-180 µm	66.6666666666667	18.4615384615385	0.512820512820512	14.3589743589744	465
52	Surface	20-180 µm	59.7479209838128	3.23986446495552	2.96048257127	34.0517319799617	381.716517794167
64	Surface	20-180 µm	88.757689137224	4.72147165939543	3.65166995389314	2.86916924948747	647.101559592532
65	Surface	20-180 µm	80.3297215348239	1.35276224412464	6.44305746960544	11.874458751446	981.059530667897
66	Surface	20-180 µm	78.1847065237175	6.46404773831363	3.77725222758262	11.5739935103863	711.532423647334
67	Surface	20-180 µm	61.5622616491376	34.8157137608858	0	3.62202458997655	249.324396919246
68	Surface	20-180 µm	41.0603010676333	15.4579747406338	5.31955317475411	38.1621710169788	701.03198308588
70	Surface	20-180 µm	40.3861397353234	6.30239606939908	7.56690199833944	45.7445621969381	1238.99074399992
72	Surface	20-180 µm	47.4029308556819	7.87124694572487	0.585225020590033	44.1405971780032	368.880205869116
76	Surface	20-180 µm	32.3336578241276	57.6757759585203	3.53033117465248	6.46023504269955	383.092198684671
78	Surface	20-180 µm	18.5395811631117	45.051073636558	8.97076507892503	27.4385801214053	219.281840132077
80	Surface	20-180 µm	88.2934872217642	7.74938169826876	0.247320692497939	3.70981038746908	1251
81	Surface	20-180 µm	59.3333333333334	18.6666666666667	2.22222222222222	19.7777777777778	469
82	Surface	20-180 µm	4.06596613778707	1.04596875685293	85.1711221191202	9.7169429862398	8598.86284373915
84	Surface	20-180 µm	99.0883888752057	0.19202988567655	0.010007987188205	0.709573251929565	109670.463414994
85	Surface	20-180 µm	65.8227988325929	6.77383310983244	18.536956958283	8.86641109929157	170.599070312393
100	Surface	20-180 µm	80.1849405548217	3.17040951122853	6.73712021136064	9.90752972258918	783
102	Surface	20-180 µm	91.1392405063291	1.19920053297801	0.33311125916056	7.32844770153231	1522
109	Surface	20-180 µm	67.2185430463576	2.31788079470199	0.66225165562914	29.8013245033113	633
122	Surface	20-180 µm	84.1669623758896	8.36629172625888	0.171649330985094	7.29509656686648	564.364273657371
123	Surface	20-180 µm	78.7868791952238	6.51776628602269	12.681440105452	2.01391441330151	892.847379399706
124	Surface	20-180 µm	79.6923076923077	11.0769230769231	1.53846153846154	7.69230769230769	334
125	Surface	20-180 µm	80.2023056091911	13.9295966840677	2.57415512707358	3.29394257966762	294.3264
126	Surface	20-180 µm	75.6100395999161	4.20492067358686	0.365122593395555	19.8199171331015	921.336264389877
127	Surface	20-180 µm	71.5210355987055	3.72168284789644	4.69255663430421	20.0647249190939	624
128	Surface	20-180 µm	48.0456026058632	1.95439739413681	13.3550488599349	36.6449511400651	645
135	Surface	20-180 µm	63.7873754152824	3.48837209302326	3.65448504983389	29.0697674418605	614
144	Surface	20-180 µm	75.563909774436	3.38345864661655	7.14285714285715	13.9097744360903	553
145	Surface	20-180 µm	41.3461538461538	16.3461538461538	26.4423076923077	15.8653846153846	252
146	Surface	20-180 µm	64.7887323943662	9.85915492957746	9.85915492957747	15.4929577464789	191
155	Surface	20-180 µm	92.4418604651163	0	0	7.55813953488372	172
158	Surface	20-180 µm	29.8561151079136	0.359712230215827	0	69.7841726618705	279
163	Surface	20-180 µm	3.65168539325843	0	91.5730337078652	4.7752808988764	357
168	Surface	20-180 µm	3.28571428571428	8.14285714285714	0.142857142857143	88.4285714285715	719
173	Surface	20-180 µm	77.7327935222672	0.809716599190283	2.63157894736842	18.825910931174	492
175	Surface	20-180 µm	53.9518900343643	1.71821305841925	0.687285223367698	43.6426116838488	298
178	Surface	20-180 µm	7.89473684210526	3.07017543859649	0.43859649122807	88.5964912280702	229
180	Surface	20-180 µm	5.83333333333334	29.1666666666666	0	65	507
188	Surface	20-180 µm	58.5427135678392	0	13.3165829145729	28.1407035175879	412
189	Surface	20-180 µm	20.9713024282561	7.94701986754967	0	71.0816777041943	455
191	Surface	20-180 µm	86.9791666666666	0.260416666666667	0	12.7604166666667	389
193	Surface	20-180 µm	67.75	1.75	0	30.5	421
194	Surface	20-180 µm	55.958549222798	4.14507772020725	0.518134715025906	39.3782383419689	215
196	Surface	20-180 µm	82.4120603015075	5.77889447236181	0	11.8090452261307	406
201	Surface	20-180 µm	94.0209267563528	0.448430493273543	0	5.53064275037369	669
205	Surface	20-180 µm	88.5057471264368	0.957854406130269	0	10.5363984674329	527
206	Surface	20-180 µm	82.4324324324324	0.9009009009009	0	16.6666666666667	223
208	Surface	20-180 µm	52.6881720430107	6.45161290322582	18.2795698924731	22.5806451612903	192
209	Surface	20-180 µm	68.3886116818315	8.42383328441445	0	23.1875550337541	360
210	Surface	20-180 µm	74.4548286604361	0	0	25.5451713395639	326
