Station,Latitude,Longitude
001,44.4148,-9.8327
002,39.0376,-10.7904
003,36.6716,-10.4208
004,36.5632,-6.5528
005,36.0297,-4.4055
006,36.5291,-4.2512
007,37.0313,1.9484
008,38.0113,3.9657
009,39.1121,5.8195
010,40.6684,2.8653
011,41.6659,2.7978
012,43.3477,7.8986
013,37.9871,8.0678
014,39.9024,12.8585
015,38.9327,14.5297
016,37.3981,15.4541
017,36.2576,14.3058
018,35.7557,14.2875
019,34.2155,13.865
020,34.4512,14.9732
021,37.5106,17.2845
022,39.7294,17.4003
023,42.176,17.7289
024,42.4574,17.9557
025,39.3329,19.4206
026,38.4307,20.1881
027,34.0945,32.9338
028,34.2785,32.9853
029,33.9278,35.342
030,33.9288,32.789
031,27.1509,34.8192
032,23.3909,37.2542
033,22.0567,38.2184
034,18.445,39.8842
036,20.8241,63.5245
037,20.8277,63.6005
038,19.0174,64.5761
039,18.6469,66.4627
040,17.5003,67.9835
041,14.5816,70.011
042,5.9925,73.919
043,4.6604,73.489
044,2.806,71.5201
045,0.941,71.7096
046,-0.6586,73.162
047,-2.0416,72.1639
048,-9.4085,66.3196
049,-16.8083,59.5043
050,-21.4759,56.7952
051,-21.4759,54.2827
052,-17.0229,53.5077
053,-13.0704,46.9226
054,-12.8129,45.2263
055,-14.2192,43.9851
056,-15.332,43.2904
057,-17.0263,42.7425
058,-17.4548,42.3197
059,-19.0626,40.803
060,-20.2335,40.0897
061,-21.3662,39.5467
062,-22.3387,40.1819
063,-24.4823,38.6882
064,-29.5083,37.9292
065,-35.226,26.3344
066,-34.9054,18.0163
067,-32.2919,17.2061
068,-31.0389,4.6197
069,-24.1255,2.6094
070,-20.2294,-3.4134
071,-9.2134,-9.728
072,-8.6909,-18.0056
073,-12.5035,-24.4345
074,-16.0357,-28.9573
075,-18.0004,-32.7183
076,-21.0289,-35.2314
077,-24.5768,-43.8398
078,-30.1576,-43.3227
079,-34.4577,-47.6597
079,-35.5015,-55.1635
080,-40.6985,-51.9518
081,-44.4969,-52.2137
082,-47.1652,-58.0118
083,-54.418,-65.0227
084,-60.3948,-60.4709
085,-62.1757,-49.5033
086,-64.3088,-53.0575
087,-63.853,-56.1366
088,-63.3856,-56.8063
089,-57.7645,-67.419
090,-39.5875,-76.99
091,-34.1738,-73.0854
092,-33.6968,-71.977
093,-33.7619,-72.6151
094,-32.76521,-87.09285
095,-31.3856,-93.9862
096,-29.6547,-101.2684
097,-28.1687,-107.6676
098,-26.2613,-110.9921
099,-21.1406,-104.8517
100,-13.1624,-96.2828
101,-8.6269,-89.4849
102,-5.2175,-85.2704
103,-1.4977,-84.5844
104,-0.991,-84.5919
105,-0.4906,-84.5883
106,0.0368,-84.6202
107,0.4885,-84.5806
108,1.0134,-84.5834
109,1.8004,-84.5454
110,-1.913,-84.6163
111,-16.9322,-100.6621
112,-23.22,-129.578
113,-23.1139,-134.9199
114,-23.1298,-134.9123
115,-23.2163,-134.9309
116,-23.2166,-134.9306
117,-23.1286,-135.0155
118,-23.1286,-135.0091
119,-23.0123,-134.9116
120,-23.0125,-134.9118
121,-23.05,-134.9592
122,-8.9691,-139.3375
123,-8.8785,-140.3036
124,-8.9988,-140.5875
125,-8.8897,-142.6096
126,-11.9746,-151.2077
127,-6.6196,-152.5683
128,-0.4689,-153.3054
129,6.7317,-153.0889
130,11.2652,-152.4623
131,22.7465,-158.0522
132,31.5064,-159.014
133,35.3433,-127.7499
134,32.6671,-121.9857
135,32.983,-121.8318
136,17.0223,-118.9142
137,14.1611,-116.6989
138,6.2155,-103.0172
139,6.4913,-95.4489
140,7.4709,-79.3116
141,9.8344,-80.0861
142,25.6017,-88.4174
143,29.8854,-79.682
144,36.36895,-72.81475
145,39.1631,-70.0758
146,34.7307,-71.2478
147,32.9542,-66.5333
148,31.7822,-64.1449
148,34.0274,-56.8759
149,34.098,-49.8399
150,35.8,-37.1022
151,36.1941,-28.801
152,43.6682,-16.6618
153,44.034,-16.56395
154,44.3538,-10.094
155,54.5967,-16.7553
156,60.9227,-7.8792
157,65.6763,-1.7589
158,67.1932,0.3745
159,68.9943,2.1566
160,70.3734,3.6776
161,72.3754,3.9348
162,74.247,3.9083
163,76.078,1.6888
164,74.5966,6.5541
165,73.444,10.233
166,71.2078,14.6615
167,71.0326,38.7135
168,72.5817,44.1263
169,74.3897,47.1589
170,75.9492,51.9135
171,77.5877,58.5583
172,77.9671,67.8967
173,78.9391,75.3448
174,79.0452,71.6238
175,79.3429,66.3838
176,77.7555,67.3907
177,77.901,71.7469
178,77.2342,73.2353
179,75.5415,74.572
180,75.1717,75.459
181,73.9663,77.0689
182,75.9764,78.5634
183,77.4535,75.734
184,79.0283,69.6921
185,79.6753,60.9018
186,79.0699,74.2148
187,78.1424,86.5227
188,78.3037,91.7249
189,78.0215,116.4816
190,73.8581,145.8458
191,71.5494,160.9611
192,70.7327,166.3095
193,71.1146,174.9006
194,73.3359,-168.5182
195,72.2127,-159.7029
196,71.8951,-154.9343
197,71.3356,-148.6624
198,71.4741,-141.8836
199,70.3957,-140.3344
200,71.9856,-93.543
201,74.3292,-85.7293
202,73.1174,-85.0532
203,73.0697,-80.3635
204,72.6757,-78.4432
205,72.4234,-71.9524
206,70.9393,-53.6219
207,69.2066,-52.8515
208,69.1073,-51.5775
209,64.7285,-53.4668
210,61.5441,-55.9854
